X..Loci.Detected,Index,Sample.ID,Sample.Group,Sentrix.Barcode,Sample.Section,Detected.CpG..0.01.,Detected.CpG..0.05.,Signal.Average.GRN,Signal.Average.RED,Signal.P05.GRN,Signal.P05.RED,Signal.P25.GRN,Signal.P25.RED,Signal.P50.GRN,Signal.P50.RED,Signal.P75.GRN,Signal.P75.RED,Signal.P95.GRN,Signal.P95.RED,Sample_Well,Sample_Plate,Pool_ID
99.9023,152,abc38c1dcc739cd1,Default Group,2.04848E+11,R08C01,864672,865072,3544.422,5005.047,222,377,730,936,2547,2322,5720,6965,9892,18155,H07,Nair2_Sample_011,NA
99.95519,153,e767550290c513c2,Default Group,2.04875E+11,R01C01,865353,865530,2795.272,3676.114,140,230,531,691,2054,1787,4563,5290,7740,12928,A08,Nair2_Sample_011,NA
99.9605,154,b8183f6b2e672ac1,Default Group,2.04875E+11,R02C01,865215,865576,2891.732,3809.868,202,289,606,723,2002,1804,4654,5320,8199,13691,B08,Nair2_Sample_011,NA
99.92124,155,bbb598e6ac174c1d,Default Group,2.04875E+11,R03C01,864545,865236,3112.094,3948.56,235,305,682,779,2157,1950,4978,5591,8801,13882,C08,Nair2_Sample_011,NA
99.89687,156,bdb070d570193491,Default Group,2.04875E+11,R04C01,863824,865025,2969.205,3923.266,223,301,637,713,1817,1829,4648,5427,9042,14336,D08,Nair2_Sample_011,NA
99.95011,157,4d60e97d87529bc0,Default Group,2.04875E+11,R05C01,865173,865486,3205.171,4049.065,234,325,681,779,2189,1921,5139,5668,9151,14502,E08,Nair2_Sample_011,NA
99.95081,158,3216ea39e7f91587,Default Group,2.04875E+11,R06C01,864507,865492,3345.637,4025.441,232,310,696,775,2355,1916,5382,5680,9422,14356,F08,Nair2_Sample_011,NA
99.90923,159,d62128ff02ed0dc2,Default Group,2.04875E+11,R07C01,864648,865132,3294.681,4344.646,234,337,711,850,2221,2139,5252,6147,9489,15310,G08,Nair2_Sample_011,NA
99.91985,160,aa2235b835d85173,Default Group,2.04875E+11,R08C01,864639,865224,3124.625,4115.686,197,291,644,772,2109,1983,4982,5836,9077,14636,H08,Nair2_Sample_011,NA
99.93429,161,bb3d7b309cb5fc58,Default Group,2.04843E+11,R01C01,865054,865349,2949.819,3636.334,167,243,582,693,2075,1807,4749,5235,8392,12705,A09,Nair2_Sample_011,NA
